frame_number,keypoint,Elbow angle,Knee angle,Shoulder-Elbow angle
37,"[[    0.25834     0.31464]
 [     0.2635      0.3057]
 [          0           0]
 [    0.29322     0.30592]
 [          0           0]
 [    0.33211     0.35415]
 [    0.34603     0.34769]
 [    0.35415     0.43983]
 [          0           0]
 [    0.29193     0.46802]
 [          0           0]
 [    0.36841     0.49048]
 [    0.36803     0.48706]
 [    0.38175     0.60385]
 [    0.32701     0.60571]
 [    0.42882     0.71437]
 [    0.30729     0.71736]]",112.87223801639654,168.1565992028049,0.34776484120721185
38,"[[    0.25384     0.32117]
 [    0.25794     0.31218]
 [          0           0]
 [    0.28638     0.30993]
 [          0           0]
 [    0.32665     0.35306]
 [    0.34708     0.34882]
 [    0.35166      0.4351]
 [          0           0]
 [    0.29556     0.47369]
 [          0           0]
 [    0.36492     0.48875]
 [    0.36847     0.48618]
 [    0.37796     0.59977]
 [    0.31834      0.6031]
 [    0.42853      0.7122]
 [    0.29319     0.71578]]",122.63815536695185,167.2741109386104,0.8740073310535607
39,"[[    0.25036     0.32181]
 [    0.25551     0.31313]
 [          0           0]
 [    0.28529     0.31067]
 [          0           0]
 [    0.32382      0.3533]
 [    0.33767     0.34816]
 [    0.34875     0.43462]
 [          0           0]
 [    0.29619     0.47677]
 [          0           0]
 [    0.36288     0.48675]
 [    0.36161     0.48398]
 [    0.37382     0.59849]
 [    0.31161       0.602]
 [    0.42579     0.71027]
 [    0.29074      0.7154]]",126.95858388081143,165.95434941582715,0.5294397426025492
40,"[[     0.2472     0.32288]
 [    0.25251     0.31403]
 [          0           0]
 [    0.28243     0.31169]
 [          0           0]
 [    0.32025     0.35367]
 [    0.33736     0.35095]
 [     0.3475     0.43388]
 [          0           0]
 [     0.2902     0.48008]
 [          0           0]
 [    0.36083     0.48676]
 [    0.36148     0.48558]
 [    0.36818     0.59593]
 [    0.30731     0.60526]
 [    0.42489     0.70671]
 [    0.28956     0.72009]]",125.85080984629258,163.05073511756575,1.3211118728958873
41,"[[    0.24426     0.32196]
 [     0.2491     0.31326]
 [          0           0]
 [    0.27957     0.31177]
 [          0           0]
 [    0.31421     0.35421]
 [    0.33313     0.34721]
 [     0.3478     0.43488]
 [          0           0]
 [    0.28935     0.47833]
 [          0           0]
 [    0.35207     0.48834]
 [    0.35499     0.48521]
 [    0.35886      0.5993]
 [    0.29278     0.60385]
 [    0.42297     0.71386]
 [    0.28296      0.7177]]",120.67236187436102,161.13861793699982,5.053354321084634
42,"[[    0.24306      0.3226]
 [     0.2487     0.31415]
 [          0           0]
 [    0.27886     0.31122]
 [          0           0]
 [    0.31197     0.35272]
 [    0.32528     0.34553]
 [    0.34479     0.43585]
 [          0           0]
 [    0.28219     0.47929]
 [          0           0]
 [    0.34605      0.4858]
 [    0.34717     0.48319]
 [    0.34304      0.5952]
 [    0.29013     0.60441]
 [    0.40517     0.70649]
 [    0.28507     0.71762]]",119.50002940060662,157.64727763117122,5.261536848096087
43,"[[     0.2394      0.3244]
 [    0.24385     0.31702]
 [          0           0]
 [     0.2726     0.31453]
 [          0           0]
 [    0.30892     0.35499]
 [    0.32435     0.34775]
 [    0.33895     0.43161]
 [          0           0]
 [    0.27788     0.47956]
 [          0           0]
 [    0.33793     0.48739]
 [    0.35445     0.48132]
 [    0.28541     0.60497]
 [    0.33142     0.59244]
 [    0.31032     0.72374]
 [    0.37259     0.69671]]",123.13719765444029,154.39766450172579,6.595365479863022
44,"[[    0.23589      0.3242]
 [    0.24204     0.31717]
 [          0           0]
 [    0.27131     0.31563]
 [          0           0]
 [    0.31265     0.35699]
 [    0.31536     0.35237]
 [     0.3325     0.43043]
 [          0           0]
 [    0.27455     0.47999]
 [          0           0]
 [    0.34735     0.48883]
 [    0.35481     0.48288]
 [    0.28256       0.608]
 [     0.3336     0.59347]
 [    0.29649     0.72424]
 [    0.37858     0.69821]]",130.1599040509907,154.48031342009605,0.2762502326682944
45,"[[    0.23384     0.32632]
 [    0.23931     0.31835]
 [          0           0]
 [    0.26998     0.31482]
 [          0           0]
 [    0.30402     0.35518]
 [     0.3165     0.35089]
 [    0.33023     0.43427]
 [          0           0]
 [    0.27201     0.47584]
 [          0           0]
 [    0.33521     0.48724]
 [     0.3398     0.48566]
 [    0.31904     0.60272]
 [    0.29836     0.61274]
 [    0.36246     0.70837]
 [    0.29685     0.72091]]",122.69549220900596,158.45090741233645,3.657828275890472
46,"[[    0.23407     0.32514]
 [    0.23924     0.31762]
 [          0           0]
 [    0.26899     0.31293]
 [          0           0]
 [    0.30724     0.35299]
 [     0.3106     0.34655]
 [    0.32851     0.43123]
 [          0           0]
 [     0.2692     0.47647]
 [          0           0]
 [    0.33471     0.48931]
 [    0.34043     0.48342]
 [    0.28998     0.60643]
 [    0.31146     0.59512]
 [    0.30823     0.72107]
 [    0.33486      0.6989]]",126.87089974503597,158.76820325207115,2.73339330780898
